file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
F2BJRLP1,0.0,25.309125,corpus_data,-46.58276743382062,-47.24683038880225,5.193435834278312,8.101948775717235
ISLE_SESS0131_BLOCKD02_03_sprt1,0.0,4.5,corpus_data,-43.775629340277774,-53.186619391808144,3.869269364133939,11.443148868500742
F2BJRLP3,0.0,30.7068125,corpus_data,-46.34392298925432,-47.43050484258852,3.6155335001663906,10.342717626259795
F2BJRLP2,0.0,28.6474375,corpus_data,-45.53140270506108,-46.05070652612826,3.2724101004839383,7.972213718429863
ISLE_SESS0131_BLOCKD02_01_sprt1,0.0,4.125,corpus_data,-43.24632074757869,-53.13873617989676,2.706220398295908,11.85118774544399
ISLE_SESS0131_BLOCKD02_02_sprt1,0.0,3.875,corpus_data,-44.57568359375,-49.90372784932455,2.592929351762938,12.358243745435463
